[11.20.22|16,18,41] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,42] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,43] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,44] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,46] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,47] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,48] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,49] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,51] 	mean_loss, 1.0986138582229614
[11.20.22|16,18,52] 	mean_loss, 1.0986138582229614
[11.20.22|16,20,52] 	mean_loss, 1.0986127853393555
[11.20.22|16,20,53] 	mean_loss, 1.0986127853393555
[11.20.22|16,20,54] 	mean_loss, 1.0986127853393555
[11.20.22|16,20,56] 	mean_loss, 1.0986127853393555
[11.20.22|16,20,57] 	mean_loss, 1.0986127853393555
[11.20.22|16,20,58] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,00] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,01] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,02] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,03] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,05] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,06] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,07] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,08] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,10] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,11] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,12] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,13] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,15] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,16] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,17] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,19] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,20] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,21] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,22] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,24] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,25] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,26] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,28] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,29] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,30] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,31] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,33] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,34] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,35] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,36] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,38] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,39] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,40] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,42] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,43] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,44] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,46] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,47] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,48] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,49] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,51] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,52] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,53] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,55] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,56] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,57] 	mean_loss, 1.0986127853393555
[11.20.22|16,21,58] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,00] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,01] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,02] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,03] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,05] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,06] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,07] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,09] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,10] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,11] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,12] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,14] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,15] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,16] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,17] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,19] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,20] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,21] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,23] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,24] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,25] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,26] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,28] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,29] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,30] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,31] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,33] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,34] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,35] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,36] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,38] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,39] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,40] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,41] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,43] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,44] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,45] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,47] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,48] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,49] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,50] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,52] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,53] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,54] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,55] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,57] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,58] 	mean_loss, 1.0986127853393555
[11.20.22|16,22,59] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,00] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,02] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,03] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,04] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,05] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,07] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,08] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,09] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,11] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,12] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,13] 	mean_loss, 1.0986127853393555
[11.20.22|16,23,14] 	mean_loss, 1.0986127853393555
